transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,Product_Subcategory,product_type
18560,2/3/22,9:03:05 AM,2,3,Chennai,22,20,Puff,Savory Puff,Veg Puff
56792,4/3/22,9:03:05 AM,2,3,Chennai,22,20,Puff,Savory Puff,Veg Puff
82705,5/3/22,9:03:05 AM,2,3,Chennai,22,20,Puff,Savory Puff,Veg Puff
186707,9/6/22,9:03:14 AM,1,3,Chennai,17,700,Cake,Chocolate Cream Cake,Choco Truffle(1 kg)
119,1/1/22,9:16:02 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
17447,2/1/22,9:16:02 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
33888,3/1/22,9:16:02 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
55184,4/1/22,9:16:02 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
80640,5/1/22,9:16:02 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
149615,7/1/22,9:16:02 AM,2,3,Chennai,16,700,Cake,Chocolate Cream Cake,Black Forest (1Kg)
18574,2/3/22,9:16:15 AM,1,3,Chennai,1,65,Cake,Flavoured Cake,American Brownie
35195,3/3/22,9:16:15 AM,1,3,Chennai,1,65,Cake,Flavoured Cake,American Brownie
82727,5/3/22,9:16:15 AM,1,3,Chennai,1,65,Cake,Flavoured Cake,American Brownie
116554,6/3/22,9:16:15 AM,1,3,Chennai,1,65,Cake,Flavoured Cake,American Brownie
150922,7/3/22,9:16:15 AM,2,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
176249,8/17/22,9:16:18 AM,2,3,Chennai,26,28,Rusk,Savory Rusk,Soup Stick Rusk
133738,6/17/22,9:16:19 AM,2,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
133739,6/17/22,9:16:19 AM,1,3,Chennai,17,700,Cake,Chocolate Cream Cake,Choco Truffle(1 kg)
160944,7/21/22,9:16:20 AM,2,3,Chennai,27,33,Rusk,Healthy Rusk,Wheat Rusk
150253,7/2/22,9:25:20 AM,1,3,Chennai,3,60,Cake,Cup Cake,Plain Cup Cake
12841,1/22/22,9:25:21 AM,1,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
74163,4/22/22,9:25:21 AM,1,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
105196,5/22/22,9:25:21 AM,1,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
140865,6/22/22,9:25:21 AM,1,3,Chennai,11,53,Cookies,Filled Cookies,Peanut Cookies
179582,8/22/22,9:25:21 AM,1,3,Chennai,27,33,Rusk,Healthy Rusk,Wheat Rusk
56827,4/3/22,9:25:22 AM,2,3,Chennai,3,60,Cake,Cup Cake,Plain Cup Cake
56828,4/3/22,9:25:22 AM,1,3,Chennai,17,700,Cake,Chocolate Cream Cake,Choco Truffle(1 kg)
116575,6/3/22,9:25:22 AM,2,3,Chennai,3,60,Cake,Cup Cake,Plain Cup Cake
116576,6/3/22,9:25:22 AM,1,3,Chennai,17,700,Cake,Chocolate Cream Cake,Choco Truffle(1 kg)
177411,8/19/22,9:25:25 AM,1,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
61109,4/8/22,9:25:26 AM,2,3,Chennai,22,20,Puff,Savory Puff,Veg Puff
10067,1/18/22,9:25:28 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
27560,2/18/22,9:25:28 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
99613,5/18/22,9:25:28 AM,2,3,Chennai,20,24,Puff,Sweet Puff,Coconut Ball
